Time: 17148
Volumen ocupado = 4.95836e+06
200	200	181.998
Id	Piece	in	x	y	z	qw	qx	qy	qz
0	0	1	175.001	45.7595	12	4.32978e-17	4.32978e-17	0.707107	0.707107
1	0	1	100.001	56.4091	12	0.5	-0.5	-0.5	0.5
2	1	1	200.001	2.24964e-32	38	0.707107	-0.707107	8.65956e-17	0
3	1	1	200.001	200	10.5339	0.5	-0.5	-0.5	0.5
4	2	1	103.81	0	0.533932	1	0	0	0
5	2	1	0	0.208246	24	1	0	0	0
6	2	1	0	90.2082	0	1	0	0	0
7	2	1	120.001	100	39.3333	1	0	0	0
8	2	1	58.6967	0	92.9977	1	0	0	0
9	3	1	150.001	100	181.998	3.7494e-33	-1	6.12323e-17	6.12323e-17
10	3	1	70.001	197.15	131.998	3.7494e-33	-1	6.12323e-17	6.12323e-17
11	3	1	200.001	100	131.998	-0.707107	-0	0.707107	-0
12	3	1	100	200	131.998	-0.5	-0.5	0.5	-0.5
13	4	1	20	93.7395	139	1	0	0	0
14	4	1	20	10.4111	113	1	0	0	0
15	4	1	20	49.7395	155.998	1	0	0	0
16	4	1	86.3751	10	0	1	0	0	0
17	4	1	45.001	10	146.498	1	0	0	0
18	5	1	91.8097	26.408	3.9977	0.707107	0.707107	0	0
19	5	1	20.001	180.208	20.9756	0.5	0.5	0.5	0.5
20	5	1	45.001	180.208	20.9756	0.5	0.5	0.5	0.5
21	5	1	65.6186	56.4091	0	0.5	0.5	0.5	0.5
22	5	1	59.9043	68.4091	0	0.5	0.5	0.5	0.5
